NO,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey,target_binary
31,TTK_0067,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,N#CC1=CC=C(C2=NN3C(C4=CC=C(C(=O)NC5CC5)C=C4)=CN=C3C(NCC3CCOCC3)=C2)C(N)=C1,WLCKQTMAURNBGU-UHFFFAOYSA-N,1
32,TTK_0068,CC(C)(Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1)C(F)(F)F,CC(C)(NC1=NN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C2C(NCC2CCOCC2)=C1)C(F)(F)F,LVBWRNKEBGYENR-UHFFFAOYSA-N,1
33,TTK_0069,CC(C)CNc1nc(-c2cccc3ncccc23)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=NC(C2=CC=CC3=C2C=CC=N3)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,MDYKTGNHXNTATG-UHFFFAOYSA-N,1
34,TTK_0070,Cc1cc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCC4)nn23)ccc1C(=O)NC1CC1,CC1=C(C(=O)NC2CC2)C=CC(C2=CN=C3C(NCC4CCOCC4)=CC(NC4CCCC4)=NN23)=C1,YASSOMRGUUCVBI-UHFFFAOYSA-N,1
35,TTK_0085,COc1ccc(C(=O)c2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)cc1F,COC1=CC=C(C(=O)C2=NN3C(C4=CC=C(C(=O)NC5CC5)C(C)=C4)=CN=C3C(NCCC(F)(F)F)=C2)C=C1F,WVPNNDAQCJXQPT-UHFFFAOYSA-N,1
36,TTK_0086,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(C(C)(O)c4cccc(F)c4O)nn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=CC(C(C)(O)C4=CC=CC(F)=C4O)=NN23)=CC=C1C(=O)NC1CC1,DSCYGDOLRIGYLN-UHFFFAOYSA-N,1
37,TTK_0087,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(C(F)(F)c4cccc(F)c4)nn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=CC(C(F)(F)C4=CC=CC(F)=C4)=NN23)=CC=C1C(=O)NC1CC1,LQFNIVXTFUWHQY-UHFFFAOYSA-N,1
38,TTK_0088,COc1ccc(C(F)(F)c2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)cc1,COC1=CC=C(C(F)(F)C2=NN3C(C4=CC=C(C(=O)NC5CC5)C(C)=C4)=CN=C3C(NCCC(F)(F)F)=C2)C=C1,WFKFFDJSURRIRZ-UHFFFAOYSA-N,1
39,TTK_0089,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(C4(c5cccc(F)c5F)CC4)nn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=CC(C4(C5=CC=CC(F)=C5F)CC4)=NN23)=CC=C1C(=O)NC1CC1,YEIIAQASSRCJDI-UHFFFAOYSA-N,1
40,TTK_0097,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCC(O)CC2)c2nc[nH]c2n1,CC1=CC(N2CCOCC2)=CC=C1NC1=NC(NC2CCC(O)CC2)=C2N=CNC2=N1,SWEKBQYCIDGILM-UHFFFAOYSA-N,1
