  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      344        1.197        5.720            0      473.988      101.185      142.099
      345        1.131        5.658            0      474.677       94.916      148.188
      346        0.986        5.635            0      475.375       98.537      144.806
      347        1.105        5.684            0      478.790       88.382      144.419
      348        1.064        5.633            0      470.539      110.875      151.040
      349        1.053        5.698            0      473.823       98.442      154.737
      350        1.159        5.674            0      470.558       99.713      144.507
      351        1.154        5.689            0      475.381       98.504      142.510
      352        1.086        5.678            0      472.688       99.562      149.764
      353        1.151        5.678            0      473.814       88.711      146.462
      354        1.261        5.718            0      474.125       89.888      150.042
      355        1.095        5.673            0      473.360      102.452      138.290
      356        1.147        5.676            0      472.764       90.641      143.724
      357        1.098        5.679            0      475.877       90.439      146.863
      358        1.132        5.637            0      474.538       85.672      143.966
      359        1.064        5.656            0      471.623       87.675      151.406
      360        1.064        5.633            0      469.889       83.836      159.676
      361        1.210        5.676            0      474.332       70.770      143.082
      362        1.141        5.622            0      467.384       94.208      139.286
      363        1.097        5.669            0      470.953       90.083      145.859
      364        1.086        5.731            0      475.768      111.211      147.458
      365        1.065        5.769            0      478.492       87.644      150.832
      366        1.105        5.632            0      471.583      101.713      147.025
      367        1.067        5.685            0      470.902       92.015      147.262
      368        1.086        5.641            0      466.889       83.914      148.422
      369        1.141        5.706            0      473.471      113.156      141.167
      370        1.022        5.649            0      470.986       96.387      147.100
      371        1.009        5.669            0      475.075      100.072      145.852
      372        1.142        5.649            0      474.599       88.216      139.257
      373        1.046        5.637            0      474.556       81.821      143.587
      374        1.161        5.682            0      469.432       90.657      148.361
      375        1.147        5.709            0      475.576       97.601      150.439
      376        1.099        5.724            0      476.611       92.439      144.469
      377        1.000        5.717            0      477.069       78.217      147.062
      378        1.081        5.695            0      472.156      117.007      150.148
      379        1.077        5.529            0      467.292       99.530      143.993
      380        1.114        5.594            0      467.702       87.586      147.918
      381        1.009        5.762            0      483.401       80.624      146.174
      382        1.075        5.679            0      471.929       82.788      147.354
      383        1.145        5.668            0      470.414       92.644      141.784
      384        1.133        5.642            0      471.001       74.452      133.719
      385        1.097        5.769            0      478.118       85.846      143.938
      386        1.095        5.680            0      468.314       85.955      143.036
      387        1.128        5.714            0      473.738       79.450      145.227
      388        1.162        5.614            0      465.315       82.386      138.308
      389        1.093        5.714            0      475.717      103.176      145.590
      390        1.147        5.693            0      475.983       94.603      136.903
      391        1.163        5.753            0      474.158       91.379      145.547
      392        1.134        5.626            0      466.968       70.604      136.609
      393        1.135        5.635            0      473.363       69.271      144.864
      394        1.069        5.707            0      472.534       87.476      144.273
      395        1.130        5.679            0      468.658       81.918      146.878
      396        1.155        5.610            0      469.510       91.734      136.593
      397        1.117        5.682            0      470.170       91.669      141.424
      398        1.068        5.713            0      473.218       85.090      144.205
      399        1.135        5.696            0      469.767       95.166      147.442
      400        1.077        5.695            0      472.785       94.011      146.906
      401        1.086        5.751            0      477.799      100.381      146.955
      402        1.150        5.716            0      475.418       99.337      146.714
      403        1.173        5.691            0      471.089       89.756      140.604
      404        1.100        5.702            0      475.561       93.073      140.318
      405        1.111        5.697            0      468.344       92.539      144.317
      406        1.214        5.723            0      474.795       96.098      149.590
      407        1.145        5.722            0      473.771       69.319      144.447
      408        1.132        5.620            0      465.103       76.749      146.230
      409        1.117        5.752            0      475.137       58.855      145.411
      410        1.169        5.596            0      473.286       69.443      137.051
      411        1.217        5.704            0      476.094       59.448      152.037
      412        1.114        5.674            0      470.465       86.735      144.514
      413        1.202        5.680            0      468.418       76.169      147.169
      414        1.156        5.671            0      466.201       68.208      143.862
      415        1.257        5.678            0      469.946       87.200      138.653
      416        1.304        5.740            0      472.293       79.328      143.732
      417        1.247        5.690            0      471.001       69.285      146.186
      418        1.058        5.724            0      477.447       75.109      146.236
      419        1.165        5.703            0      474.404       93.478      141.398
      420        1.133        5.640            0      467.523       85.642      142.125
      421        1.079        5.676            0      472.511       93.807      146.917
      422        1.124        5.669            0      470.499       89.273      143.804
      423        1.146        5.660            0      471.796       76.506      145.528
      424        1.094        5.603            0      472.279       58.335      140.657
      425        1.147        5.735            0      472.325       88.391      148.637
      426        1.107        5.673            0      475.676       97.398      144.459
      427        1.134        5.667            0      472.094       99.123      141.577
      428        1.108        5.720            0      474.452       93.065      142.555
      429        1.094        5.638            0      471.495       85.806      149.894
      430        1.137        5.674            0      474.818       89.128      144.749
      431        1.111        5.686            0      472.385      106.380      147.680
      432        1.137        5.753            0      475.003      106.833      150.689
      433        0.959        5.710            0      480.774      105.370      149.603
      434        1.220        5.649            0      472.137       87.007      133.735
      435        1.199        5.774            0      479.273       95.904      151.258
      436        1.139        5.660            0      468.380       74.776      147.683
      437        1.137        5.728            0      472.784       73.253      146.226
      438        1.024        5.703            0      469.152       97.788      147.827
      439        1.097        5.707            0      478.596       94.384      142.100
      440        1.092        5.625            0      473.633       82.657      142.090
      441        1.183        5.679            0      470.746      107.665      143.711
      442        1.150        5.792            0      483.718      105.885      145.510
      443        1.004        5.605            0      469.827       99.069      143.604
      444        1.065        5.690            0      473.760       82.835      142.597
      445        1.140        5.707            0      481.261       68.359      142.207
      446        1.129        5.616            0      471.366       86.839      139.419
      447        1.027        5.749            0      477.854      108.878      150.749
      448        1.065        5.712            0      473.534      102.541      150.889
      449        1.198        5.634            0      466.141       96.406      146.162
      450        1.157        5.694            0      470.642       73.020      143.540
      451        1.011        5.503            0      470.475       79.517      144.109
      452        1.129        5.650            0      470.604       91.049      145.299
      453        1.185        5.702            0      474.342      100.579      138.909
      454        1.223        5.648            0      470.767       96.433      135.834
      455        1.182        5.692            0      473.844      137.372      139.112
      456        1.236        5.520            0      466.738       75.515      150.932
      457        1.154        5.536            0      477.447       66.184      146.033
      458        0.929        5.595            0      472.911      100.254      149.379
      459        0.931        5.594            0      468.155      109.571      150.825
      460        0.863        5.580            0      473.557       84.694      141.338
      461        0.825        5.615            0      475.610       77.159      150.043
      462        1.063        5.566            0      466.036       80.105      137.940
      463        0.877        5.549            0      473.472       76.029      144.772
      464        1.181        5.525            0      466.965       79.811      145.442
      465        0.909        5.575            0      465.258       89.454      136.948
      466        0.985        5.575            0      469.076       81.931      138.702
